ticker,sector,bloomberg_sector
CDW,Information Technology,S5INFT
APP,Information Technology,S5INFT
HPQ,Information Technology,S5INFT
TDY,Information Technology,S5INFT
IBM,Information Technology,S5INFT
APH,Information Technology,S5INFT
DDOG,Information Technology,S5INFT
ACN,Information Technology,S5INFT
VRSN,Information Technology,S5INFT
PTC,Information Technology,S5INFT
CSCO,Information Technology,S5INFT
SNDK,Information Technology,S5INFT
INTC,Information Technology,S5INFT
PANW,Information Technology,S5INFT
MSFT,Information Technology,S5INFT
NVDA,Information Technology,S5INFT
CTSH,Information Technology,S5INFT
GDDY,Information Technology,S5INFT
PLTR,Information Technology,S5INFT
STX,Information Technology,S5INFT
FFIV,Information Technology,S5INFT
AKAM,Information Technology,S5INFT
TXN,Information Technology,S5INFT
WDC,Information Technology,S5INFT
CRWD,Information Technology,S5INFT
IT,Information Technology,S5INFT
NOW,Information Technology,S5INFT
CRM,Information Technology,S5INFT
AMD,Information Technology,S5INFT
ADBE,Information Technology,S5INFT
Q,Information Technology,S5INFT
AAPL,Information Technology,S5INFT
ADSK,Information Technology,S5INFT
KLAC,Information Technology,S5INFT
ORCL,Information Technology,S5INFT
ANET,Information Technology,S5INFT
AVGO,Information Technology,S5INFT
CDNS,Information Technology,S5INFT
MPWR,Information Technology,S5INFT
TYL,Information Technology,S5INFT
SWKS,Information Technology,S5INFT
GLW,Information Technology,S5INFT
AMAT,Information Technology,S5INFT
SNPS,Information Technology,S5INFT
HPE,Information Technology,S5INFT
FSLR,Information Technology,S5INFT
CIEN,Information Technology,S5INFT
DELL,Information Technology,S5INFT
LRCX,Information Technology,S5INFT
SMCI,Information Technology,S5INFT
ON,Information Technology,S5INFT
ADI,Information Technology,S5INFT
QCOM,Information Technology,S5INFT
TRMB,Information Technology,S5INFT
GEN,Information Technology,S5INFT
TER,Information Technology,S5INFT
KEYS,Information Technology,S5INFT
INTU,Information Technology,S5INFT
ZBRA,Information Technology,S5INFT
MCHP,Information Technology,S5INFT
EPAM,Information Technology,S5INFT
COHR,Information Technology,S5INFT
WDAY,Information Technology,S5INFT
JBL,Information Technology,S5INFT
LITE,Information Technology,S5INFT
TEL,Information Technology,S5INFT
ROP,Information Technology,S5INFT
NXPI,Information Technology,S5INFT
MU,Information Technology,S5INFT
MSI,Information Technology,S5INFT
FTNT,Information Technology,S5INFT
NTAP,Information Technology,S5INFT
FICO,Information Technology,S5INFT
AXP,Financials,S5FINL
JPM,Financials,S5FINL
BRO,Financials,S5FINL
ACGL,Financials,S5FINL
PNC,Financials,S5FINL
EG,Financials,S5FINL
PGR,Financials,S5FINL
BAC,Financials,S5FINL
TRV,Financials,S5FINL
SCHW,Financials,S5FINL
GPN,Financials,S5FINL
C,Financials,S5FINL
AIG,Financials,S5FINL
TFC,Financials,S5FINL
GS,Financials,S5FINL
MCO,Financials,S5FINL
BX,Financials,S5FINL
AFL,Financials,S5FINL
CBOE,Financials,S5FINL
ERIE,Financials,S5FINL
GL,Financials,S5FINL
CME,Financials,S5FINL
ARES,Financials,S5FINL
NDAQ,Financials,S5FINL
BK,Financials,S5FINL
CPAY,Financials,S5FINL
MET,Financials,S5FINL
BRK.B,Financials,S5FINL
BLK,Financials,S5FINL
AMP,Financials,S5FINL
MA,Financials,S5FINL
RJF,Financials,S5FINL
ICE,Financials,S5FINL
FIS,Financials,S5FINL
AJG,Financials,S5FINL
HOOD,Financials,S5FINL
CFG,Financials,S5FINL
AIZ,Financials,S5FINL
RF,Financials,S5FINL
JKHY,Financials,S5FINL
CINF,Financials,S5FINL
AON,Financials,S5FINL
MTB,Financials,S5FINL
FISV,Financials,S5FINL
XYZ,Financials,S5FINL
FITB,Financials,S5FINL
FDS,Financials,S5FINL
V,Financials,S5FINL
HBAN,Financials,S5FINL
COIN,Financials,S5FINL
BEN,Financials,S5FINL
IBKR,Financials,S5FINL
NTRS,Financials,S5FINL
PYPL,Financials,S5FINL
KKR,Financials,S5FINL
MSCI,Financials,S5FINL
SYF,Financials,S5FINL
KEY,Financials,S5FINL
WTW,Financials,S5FINL
STT,Financials,S5FINL
USB,Financials,S5FINL
TROW,Financials,S5FINL
IVZ,Financials,S5FINL
MS,Financials,S5FINL
WRB,Financials,S5FINL
APO,Financials,S5FINL
CB,Financials,S5FINL
PFG,Financials,S5FINL
ALL,Financials,S5FINL
L,Financials,S5FINL
MRSH,Financials,S5FINL
PRU,Financials,S5FINL
SPGI,Financials,S5FINL
COF,Financials,S5FINL
WFC,Financials,S5FINL
HIG,Financials,S5FINL
OMC,Communication Services,S5TELS
VZ,Communication Services,S5TELS
