Ticker,Sector,Ann Mean%,Ann Std%,Skew,Kurt,Min%,Max%,Obs
GOOGL,Communication Services,27.34,30.62,0.601,8.86,-11.63,19.99,5406
NFLX,Communication Services,40.44,50.52,-0.104,22.96,-40.91,42.22,5406
VZ,Communication Services,8.47,20.65,0.438,9.34,-8.07,14.63,5406
AMZN,Consumer Discretionary,28.93,37.76,0.834,14.56,-21.82,26.95,5406
HD,Consumer Discretionary,16.75,25.78,0.008,10.34,-19.79,14.07,5406
BKNG,Consumer Discretionary,32.36,37.88,1.06,14.27,-17.28,26.15,5406
WMT,Consumer Staples,13.2,20.27,0.281,12.38,-11.38,11.71,5406
COST,Consumer Staples,19.1,22.29,-0.057,7.92,-12.45,10.75,5406
PG,Consumer Staples,9.39,18.05,0.064,9.84,-8.74,12.01,5406
XOM,Energy,12.32,26.32,0.184,9.93,-13.95,17.19,5406
CVX,Energy,14.04,28.08,0.067,20.51,-22.12,22.74,5406
SLB,Energy,11.87,38.23,-0.229,9.19,-27.42,19.91,5406
JPM,Financials,18.92,35.62,0.941,20.13,-20.73,25.1,5406
BRK.B,Financials,12.24,20.97,0.738,17.23,-10.94,19.26,5406
GS,Financials,18.51,34.51,0.766,17.97,-18.96,26.47,5406
LLY,Health Care,19.37,26.33,0.549,12.06,-14.14,15.68,5406
UNH,Health Care,16.28,31.93,0.277,31.23,-22.38,34.76,5406
JNJ,Health Care,11.01,17.18,0.179,11.37,-10.04,12.23,5406
BA,Industrials,15.11,34.87,0.263,15.67,-23.85,24.32,5406
GE,Industrials,11.11,32.66,0.222,8.99,-15.16,19.7,5406
CAT,Industrials,21.48,31.49,0.002,5.37,-14.52,14.72,5406
NVDA,Information Technology,47.44,48.62,0.203,7.64,-30.73,29.81,5406
MU,Information Technology,29.77,51.3,0.116,4.43,-19.82,23.44,5406
MSFT,Information Technology,18.43,26.91,0.233,10.09,-14.74,18.6,5406
FCX,Materials,21.62,51.92,0.154,6.54,-20.33,29.68,5406
NEM,Materials,13.59,38.16,0.324,7.2,-14.7,25.17,5406
LIN,Materials,16.15,24.57,0.309,9.47,-12.6,14.86,5406
AMT,Real Estate,16.65,27.26,0.462,9.97,-15.16,20.22,5406
WELL,Real Estate,18.07,30.76,0.068,20.64,-24.4,23.18,5406
EQIX,Real Estate,22.43,34.05,-0.168,16.67,-33.07,17.18,5406
NEE,Utilities,16.79,23.79,0.21,11.17,-13.42,13.94,5406
DUK,Utilities,11.88,19.78,0.152,12.95,-11.5,13.31,5406
SO,Utilities,11.41,19.24,0.716,22.71,-11.77,18.77,5406
